,system:time_start,total_precipitation
0,"Jan 1, 2000",0.0
1,"Jan 2, 2000",0.0
2,"Jan 3, 2000",0.0
3,"Jan 4, 2000",0.0
4,"Jan 5, 2000",0.0
5,"Jan 6, 2000",0.0
6,"Jan 7, 2000",0.0
7,"Jan 8, 2000",0.0
8,"Jan 9, 2000",0.0
9,"Jan 10, 2000",0.0
10,"Jan 11, 2000",0.0
11,"Jan 12, 2000",0.0
12,"Jan 13, 2000",0.0
13,"Jan 14, 2000",0.003
14,"Jan 15, 2000",0.0
15,"Jan 16, 2000",0.0
16,"Jan 17, 2000",0.0
17,"Jan 18, 2000",0.0
18,"Jan 19, 2000",0.001
19,"Jan 20, 2000",0.0
20,"Jan 21, 2000",0.0
21,"Jan 22, 2000",0.001
22,"Jan 23, 2000",0.004
23,"Jan 24, 2000",0.002
24,"Jan 25, 2000",0.0
25,"Jan 26, 2000",0.0
26,"Jan 27, 2000",0.0
27,"Jan 28, 2000",0.006
28,"Jan 29, 2000",0.01
29,"Jan 30, 2000",0.0
30,"Jan 31, 2000",0.0
31,"Feb 1, 2000",0.0
32,"Feb 2, 2000",0.003
33,"Feb 3, 2000",0.002
34,"Feb 4, 2000",0.0
35,"Feb 5, 2000",0.003
36,"Feb 6, 2000",0.009000000000000001
37,"Feb 7, 2000",0.001
38,"Feb 8, 2000",0.0
39,"Feb 9, 2000",0.0
40,"Feb 10, 2000",0.0
41,"Feb 11, 2000",0.001
42,"Feb 12, 2000",0.0
43,"Feb 13, 2000",0.0
44,"Feb 14, 2000",0.002
45,"Feb 15, 2000",0.0
46,"Feb 16, 2000",0.0
47,"Feb 17, 2000",0.0
48,"Feb 18, 2000",0.0
49,"Feb 19, 2000",0.0
50,"Feb 20, 2000",0.0
51,"Feb 21, 2000",0.0
52,"Feb 22, 2000",0.0
53,"Feb 23, 2000",0.0
54,"Feb 24, 2000",0.0
55,"Feb 25, 2000",0.0
56,"Feb 26, 2000",0.0
57,"Feb 27, 2000",0.0
58,"Feb 28, 2000",0.001
59,"Feb 29, 2000",0.0
60,"Mar 1, 2000",0.003
61,"Mar 2, 2000",0.019
62,"Mar 3, 2000",0.003
63,"Mar 4, 2000",0.002
64,"Mar 5, 2000",0.004
65,"Mar 6, 2000",0.003
66,"Mar 7, 2000",0.001
67,"Mar 8, 2000",0.004
68,"Mar 9, 2000",0.0
69,"Mar 10, 2000",0.0
70,"Mar 11, 2000",0.002
71,"Mar 12, 2000",0.022000000000000002
72,"Mar 13, 2000",0.019
73,"Mar 14, 2000",0.005
74,"Mar 15, 2000",0.002
75,"Mar 16, 2000",0.0
76,"Mar 17, 2000",0.0
77,"Mar 18, 2000",0.0
78,"Mar 19, 2000",0.001
79,"Mar 20, 2000",0.001
80,"Mar 21, 2000",0.0
81,"Mar 22, 2000",0.0
82,"Mar 23, 2000",0.0
83,"Mar 24, 2000",0.001
84,"Mar 25, 2000",0.0
85,"Mar 26, 2000",0.0
86,"Mar 27, 2000",0.0
87,"Mar 28, 2000",0.001
88,"Mar 29, 2000",0.008
89,"Mar 30, 2000",0.0
90,"Mar 31, 2000",0.004
91,"Apr 1, 2000",0.003
92,"Apr 2, 2000",0.003
93,"Apr 3, 2000",0.005
