date,value
01-Jan-00,0
02-Jan-00,0
03-Jan-00,0
04-Jan-00,0
05-Jan-00,0
06-Jan-00,0
07-Jan-00,0
08-Jan-00,0
09-Jan-00,0
10-Jan-00,0
11-Jan-00,0
12-Jan-00,0
13-Jan-00,0
14-Jan-00,0.003
15-Jan-00,0
16-Jan-00,0
17-Jan-00,0
18-Jan-00,0
19-Jan-00,0.001
20-Jan-00,0
21-Jan-00,0
22-Jan-00,0.001
23-Jan-00,0.004
24-Jan-00,0.002
25-Jan-00,0
26-Jan-00,0
27-Jan-00,0
28-Jan-00,0.006
29-Jan-00,0.01
30-Jan-00,0
31-Jan-00,0
01-Feb-00,0
02-Feb-00,0.003
03-Feb-00,0.002
04-Feb-00,0
05-Feb-00,0.003
06-Feb-00,0.009
07-Feb-00,0.001
08-Feb-00,0
09-Feb-00,0
10-Feb-00,0
11-Feb-00,0.001
12-Feb-00,0
13-Feb-00,0
14-Feb-00,0.002
15-Feb-00,0
16-Feb-00,0
17-Feb-00,0
18-Feb-00,0
19-Feb-00,0
20-Feb-00,0
21-Feb-00,0
22-Feb-00,0
23-Feb-00,0
24-Feb-00,0
25-Feb-00,0
26-Feb-00,0
27-Feb-00,0
28-Feb-00,0.001
29-Feb-00,0
01-Mar-00,0.003
02-Mar-00,0.019
03-Mar-00,0.003
04-Mar-00,0.002
05-Mar-00,0.004
06-Mar-00,0.003
07-Mar-00,0.001
08-Mar-00,0.004
09-Mar-00,0
10-Mar-00,0
11-Mar-00,0.002
12-Mar-00,0.022
13-Mar-00,0.019
14-Mar-00,0.005
15-Mar-00,0.002
16-Mar-00,0
17-Mar-00,0
18-Mar-00,0
19-Mar-00,0.001
20-Mar-00,0.001
21-Mar-00,0
22-Mar-00,0
23-Mar-00,0
24-Mar-00,0.001
25-Mar-00,0
26-Mar-00,0
27-Mar-00,0
28-Mar-00,0.001
29-Mar-00,0.008
30-Mar-00,0
31-Mar-00,0.004
01-Apr-00,0.003
02-Apr-00,0.003
03-Apr-00,0.005
04-Apr-00,0.004
05-Apr-00,0.01
06-Apr-00,0.008
07-Apr-00,0.011
08-Apr-00,0.007
09-Apr-00,0.02
10-Apr-00,0.004
11-Apr-00,0.007
12-Apr-00,0.003
13-Apr-00,0.002
14-Apr-00,0.006
15-Apr-00,0.008
16-Apr-00,0.004
17-Apr-00,0.007
18-Apr-00,0.015
19-Apr-00,0.011
20-Apr-00,0.012
21-Apr-00,0.017
22-Apr-00,0.009
23-Apr-00,0.01
24-Apr-00,0.037
25-Apr-00,0.027
26-Apr-00,0.051
27-Apr-00,0.09
28-Apr-00,0.054
29-Apr-00,0.057
30-Apr-00,0.091
01-May-00,0.059
02-May-00,0.028
03-May-00,0.012
04-May-00,0.003
05-May-00,0.003
06-May-00,0.013
07-May-00,0.002
08-May-00,0.003
09-May-00,0.003
10-May-00,0.011
11-May-00,0.005
12-May-00,0.005
13-May-00,0.009
14-May-00,0.003
15-May-00,0.005
16-May-00,0.01
17-May-00,0.019
18-May-00,0.055
19-May-00,0.029
20-May-00,0.024
21-May-00,0.015
22-May-00,0.014
23-May-00,0.081
24-May-00,0.012
25-May-00,0.036
26-May-00,0.073
27-May-00,0.079
28-May-00,0.075
29-May-00,0.051
30-May-00,0.044
31-May-00,0.014
01-Jun-00,0.02
02-Jun-00,0.002
03-Jun-00,0.001
04-Jun-00,0.016
05-Jun-00,0.019
06-Jun-00,0.023
07-Jun-00,0.028
08-Jun-00,0.035
09-Jun-00,0.036
10-Jun-00,0.044
11-Jun-00,0.018
12-Jun-00,0.015
13-Jun-00,0.047
14-Jun-00,0.021
15-Jun-00,0.008
16-Jun-00,0.02
17-Jun-00,0.015
18-Jun-00,0.025
19-Jun-00,0.02
20-Jun-00,0.051
21-Jun-00,0.062
22-Jun-00,0.067
23-Jun-00,0.063
24-Jun-00,0.042
25-Jun-00,0.039
26-Jun-00,0.021
27-Jun-00,0.01
28-Jun-00,0.011
29-Jun-00,0.015
30-Jun-00,0.006
01-Jul-00,0.006
02-Jul-00,0.008
03-Jul-00,0.002
04-Jul-00,0.002
05-Jul-00,0.014
06-Jul-00,0.005
07-Jul-00,0.024
08-Jul-00,0.033
09-Jul-00,0.057
10-Jul-00,0.016
11-Jul-00,0.018
12-Jul-00,0.037
13-Jul-00,0.042
14-Jul-00,0.044
15-Jul-00,0.009
16-Jul-00,0.01
17-Jul-00,0.037
18-Jul-00,0.051
19-Jul-00,0.039
20-Jul-00,0.029
21-Jul-00,0.013
22-Jul-00,0.018
23-Jul-00,0.02
24-Jul-00,0.022
25-Jul-00,0.027
26-Jul-00,0.021
27-Jul-00,0.015
28-Jul-00,0.008
29-Jul-00,0.006
30-Jul-00,0.022
31-Jul-00,0.059
01-Aug-00,0.137
02-Aug-00,0.073
03-Aug-00,0.017
04-Aug-00,0.01
05-Aug-00,0.004
06-Aug-00,0.008
07-Aug-00,0.031
08-Aug-00,0.027
09-Aug-00,0.038
10-Aug-00,0.022
11-Aug-00,0.045
12-Aug-00,0.029
13-Aug-00,0.036
14-Aug-00,0.034
15-Aug-00,0.034
16-Aug-00,0.048
17-Aug-00,0.021
18-Aug-00,0.007
19-Aug-00,0.01
20-Aug-00,0.012
21-Aug-00,0.011
22-Aug-00,0.021
23-Aug-00,0.011
24-Aug-00,0.019
25-Aug-00,0.003
26-Aug-00,0.004
27-Aug-00,0.008
28-Aug-00,0.027
29-Aug-00,0.051
30-Aug-00,0.042
31-Aug-00,0.042
01-Sep-00,0.029
02-Sep-00,0.036
03-Sep-00,0.024
04-Sep-00,0.03
05-Sep-00,0.007
06-Sep-00,0.011
07-Sep-00,0.032
08-Sep-00,0.033
09-Sep-00,0.044
10-Sep-00,0.024
11-Sep-00,0.01
12-Sep-00,0.002
13-Sep-00,0.013
14-Sep-00,0.017
15-Sep-00,0.024
16-Sep-00,0.026
17-Sep-00,0.056
18-Sep-00,0.03
19-Sep-00,0.014
20-Sep-00,0.002
21-Sep-00,0.003
22-Sep-00,0.005
23-Sep-00,0.015
24-Sep-00,0.014
25-Sep-00,0.011
26-Sep-00,0.003
27-Sep-00,0
28-Sep-00,0.001
29-Sep-00,0.001
30-Sep-00,0.004
01-Oct-00,0.012
02-Oct-00,0.079
03-Oct-00,0.007
04-Oct-00,0.003
05-Oct-00,0.005
06-Oct-00,0.003
07-Oct-00,0.003
08-Oct-00,0.005
09-Oct-00,0.004
10-Oct-00,0.003
11-Oct-00,0.001
12-Oct-00,0.001
13-Oct-00,0.001
14-Oct-00,0.001
15-Oct-00,0.001
16-Oct-00,0.002
17-Oct-00,0.01
18-Oct-00,0.005
19-Oct-00,0.001
20-Oct-00,0.002
21-Oct-00,0.003
22-Oct-00,0.001
23-Oct-00,0.001
24-Oct-00,0.001
25-Oct-00,0
26-Oct-00,0
27-Oct-00,0.031
28-Oct-00,0.125
29-Oct-00,0.009
30-Oct-00,0
31-Oct-00,0
01-Nov-00,0
02-Nov-00,0
03-Nov-00,0
04-Nov-00,0.001
05-Nov-00,0.001
06-Nov-00,0.001
07-Nov-00,0
08-Nov-00,0
09-Nov-00,0.001
10-Nov-00,0.005
11-Nov-00,0.008
12-Nov-00,0.006
13-Nov-00,0.001
14-Nov-00,0
15-Nov-00,0
16-Nov-00,0
17-Nov-00,0
18-Nov-00,0
19-Nov-00,0
20-Nov-00,0.001
21-Nov-00,0.002
22-Nov-00,0
23-Nov-00,0
24-Nov-00,0
25-Nov-00,0
26-Nov-00,0
27-Nov-00,0
28-Nov-00,0
29-Nov-00,0
30-Nov-00,0
01-Dec-00,0
02-Dec-00,0
03-Dec-00,0
04-Dec-00,0
05-Dec-00,0
06-Dec-00,0
07-Dec-00,0
08-Dec-00,0
09-Dec-00,0
10-Dec-00,0
11-Dec-00,0
12-Dec-00,0
13-Dec-00,0
14-Dec-00,0
15-Dec-00,0
16-Dec-00,0
17-Dec-00,0
18-Dec-00,0
19-Dec-00,0
20-Dec-00,0
21-Dec-00,0
22-Dec-00,0
23-Dec-00,0
24-Dec-00,0
25-Dec-00,0
26-Dec-00,0
27-Dec-00,0
28-Dec-00,0
29-Dec-00,0
30-Dec-00,0
31-Dec-00,0
01-Jan-01,0
02-Jan-01,0
03-Jan-01,0
04-Jan-01,0
05-Jan-01,0
06-Jan-01,0
07-Jan-01,0
08-Jan-01,0
09-Jan-01,0
10-Jan-01,0
11-Jan-01,0
12-Jan-01,0
13-Jan-01,0
14-Jan-01,0
15-Jan-01,0
16-Jan-01,0
17-Jan-01,0
18-Jan-01,0
19-Jan-01,0
20-Jan-01,0
21-Jan-01,0
22-Jan-01,0
23-Jan-01,0.006
24-Jan-01,0
25-Jan-01,0
26-Jan-01,0
27-Jan-01,0
28-Jan-01,0
29-Jan-01,0
30-Jan-01,0
31-Jan-01,0
01-Feb-01,0
02-Feb-01,0
03-Feb-01,0
04-Feb-01,0
05-Feb-01,0
06-Feb-01,0
07-Feb-01,0
08-Feb-01,0.001
09-Feb-01,0.001
10-Feb-01,0.001
11-Feb-01,0
12-Feb-01,0
13-Feb-01,0
14-Feb-01,0
15-Feb-01,0
16-Feb-01,0.001
17-Feb-01,0.001
18-Feb-01,0.001
19-Feb-01,0.004
20-Feb-01,0.001
21-Feb-01,0.001
22-Feb-01,0.006
23-Feb-01,0.007
24-Feb-01,0.016
25-Feb-01,0.021
26-Feb-01,0.014
27-Feb-01,0.001
28-Feb-01,0
01-Mar-01,0.001
02-Mar-01,0
03-Mar-01,0
04-Mar-01,0
05-Mar-01,0.002
06-Mar-01,0.002
07-Mar-01,0
08-Mar-01,0
09-Mar-01,0.002
10-Mar-01,0.001
11-Mar-01,0
12-Mar-01,0
13-Mar-01,0.002
14-Mar-01,0.002
15-Mar-01,0
16-Mar-01,0
17-Mar-01,0
18-Mar-01,0
19-Mar-01,0
20-Mar-01,0
21-Mar-01,0
22-Mar-01,0.013
23-Mar-01,0.015
24-Mar-01,0.003
25-Mar-01,0
26-Mar-01,0.008
27-Mar-01,0.005
28-Mar-01,0.002
29-Mar-01,0.015
30-Mar-01,0.012
31-Mar-01,0.004
01-Apr-01,0.002
02-Apr-01,0.001
03-Apr-01,0
04-Apr-01,0.001
05-Apr-01,0.001
06-Apr-01,0
07-Apr-01,0.003
08-Apr-01,0.004
09-Apr-01,0.009
10-Apr-01,0.007
11-Apr-01,0.005
12-Apr-01,0.011
13-Apr-01,0.011
14-Apr-01,0.005
15-Apr-01,0.003
16-Apr-01,0.008
17-Apr-01,0.004
18-Apr-01,0.008
19-Apr-01,0.007
20-Apr-01,0.004
21-Apr-01,0.001
22-Apr-01,0
23-Apr-01,0
24-Apr-01,0
25-Apr-01,0.001
26-Apr-01,0.018
27-Apr-01,0.026
28-Apr-01,0.073
29-Apr-01,0.061
30-Apr-01,0.017
01-May-01,0.005
02-May-01,0.002
03-May-01,0.008
04-May-01,0.007
05-May-01,0.02
06-May-01,0.009
07-May-01,0.011
08-May-01,0.017
09-May-01,0.039
10-May-01,0.033
11-May-01,0.024
12-May-01,0.001
13-May-01,0.001
14-May-01,0.003
15-May-01,0.005
16-May-01,0.005
17-May-01,0.005
18-May-01,0.004
19-May-01,0.004
20-May-01,0.011
21-May-01,0.008
22-May-01,0.012
23-May-01,0.008
24-May-01,0.007
25-May-01,0.01
26-May-01,0.003
27-May-01,0.005
28-May-01,0.004
29-May-01,0.009
30-May-01,0.037
31-May-01,0.012
