year,Andaman and Nicobar,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttaranchal,West Bengal
2001,0.157719382,0.175251635,0.045047181,0.055086469,0.012418437,0.046290208,0.067995832,0.09892892,0.141920637,0.031239626,0.248023544,0.215042351,0.14072491,0.056402478,0.037762897,0.164921115,0.085000174,0.051789121,0.117294084,0.169554902,0.057140356,0.061638976,0.059594552,0.044647415,0.061695132,0.096078939,0.262024617,0.16333371,0.065401252,0.157119856,0.08742658,0.048001002,0.10050527,0.047944859
2002,0.17033956,0.182915286,0.042179202,0.054198663,0.015086338,0.046233834,0.09646588,0.103449512,0.144938917,0.031292879,0.258321135,0.22819682,0.158120383,0.062013411,0.044650404,0.163140217,0.08693855,0.05467405,0.116329316,0.166080763,0.058992799,0.055589036,0.056956943,0.04987258,0.066269131,0.100657236,0.263732288,0.16353963,0.079061281,0.158299947,0.089826063,0.04300895,0.109300078,0.051523474
2003,0.132718134,0.140999497,0.037635314,0.039295894,0.009393047,0.045939647,0.063302191,0.087285152,0.109653376,0.030340231,0.232022324,0.182292406,0.129631405,0.051078778,0.033551398,0.133441867,0.067081061,0.041901261,0.074341659,0.131986367,0.040147215,0.039023536,0.042610503,0.031567064,0.04495949,0.089737755,0.219922437,0.135079236,0.049007742,0.136228352,0.072621537,0.031485313,0.095579773,0.038142848
2004,0.115431406,0.120609036,0.038979148,0.04391462,0.008907482,0.046054763,0.084279343,0.112396801,0.115969913,0.030702544,0.264366543,0.194307098,0.10742531,0.059878584,0.037501818,0.11988138,0.058730061,0.018558156,0.065796385,0.108118003,0.028864686,0.0557488,0.035270952,0.033489984,0.04784687,0.093432205,0.250022744,0.141641173,0.070406353,0.110066152,0.077414514,0.026489047,0.099042046,0.042144065
2005,0.171536414,0.165265223,0.053133313,0.05202128,0.011501088,0.045952911,0.101898036,0.109420347,0.119328774,0.030725328,0.254421701,0.208321989,0.179290074,0.065623779,0.041141945,0.155742192,0.082176719,0.051672793,0.092964032,0.133184061,0.045615646,0.065349597,0.05542168,0.048558202,0.064959612,0.09546313,0.25235716,0.160427407,0.09070928,0.141632712,0.091098411,0.035202205,0.115645522,0.04883948
2006,0.1462619,0.152482561,0.048410199,0.04622536,0.012015049,0.04616988,0.089228492,0.101608327,0.113316114,0.030710169,0.239650131,0.194600236,0.165984641,0.063560036,0.039271303,0.143666001,0.074540575,0.041699626,0.076539498,0.11281295,0.038267928,0.059667888,0.044910436,0.042934503,0.056757673,0.090201314,0.240507973,0.146380785,0.097670728,0.131025484,0.073863944,0.033178426,0.107953696,0.045510553
2007,0.137464824,0.165617236,0.052885071,0.052186475,0.012868127,0.046233834,0.091982004,0.11116337,0.120085051,0.030675948,0.241452612,0.198952747,0.188386304,0.068784161,0.040963578,0.153959731,0.076154743,0.034681184,0.071550115,0.114905696,0.040202265,0.075697136,0.047997368,0.036795515,0.057733165,0.097200375,0.260092855,0.155354877,0.096496429,0.138645818,0.073162785,0.038417925,0.115186086,0.046171466
2008,0.2185921,0.224896338,0.075243888,0.068844555,0.016149499,0.046387797,0.136194286,0.143576594,0.148063042,0.031672913,0.296286368,0.25964041,0.268759937,0.102977966,0.052365193,0.204144682,0.101673675,0.053758938,0.11872547,0.162702839,0.058232408,0.09878226,0.082339141,0.069482366,0.083560125,0.115891384,0.330649902,0.212768688,0.156150657,0.182310914,0.113884173,0.05464743,0.174991365,0.061855174
2009,0.185773856,0.218721058,0.070318061,0.06914463,0.016934018,0.046320527,0.144213954,0.148286682,0.153000184,0.031452994,0.282116767,0.2546719,0.230637115,0.084122386,0.052233327,0.194162867,0.090825135,0.050036449,0.105822782,0.159984193,0.054367236,0.092235672,0.064810984,0.060060591,0.075508635,0.115983535,0.30666072,0.203390312,0.156791035,0.17178606,0.102808801,0.048593085,0.174106599,0.059147325
2010,0.182016443,0.214990352,0.06420992,0.061787387,0.01375305,0.046426643,0.137341273,0.145147192,0.14776258,0.031852149,0.286480019,0.290521825,0.205316783,0.081253069,0.0501758,0.181216453,0.088611405,0.052983419,0.0654486,0.138680245,0.043194223,0.083315217,0.056725902,0.054532672,0.07478045,0.119296159,0.31790724,0.21136676,0.128530881,0.176318166,0.100570862,0.040670691,0.147470448,0.052703481
