,year,Andaman and Nicobar,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttaranchal,West Bengal
0,1992,2.61183432,22.17481892,0.433632417,12.73976291,4.775500804,252.65625,7.224358713,13.92797784,66.54278729,232.4029991,42.96460923,74.06137034,4.612500162,3.179457862,9.404788065,16.57573751,41.63584616,8.463576159,14.18694075,28.67759847,3.296975503,2.878789918,0.829481347,2.150968091,6.236256321,79.99770642,74.29785423,13.5470677,1.552628839,38.0509167,11.6248914,24.49523576,7.006387692,25.79851184
1,1993,4.367137005,31.50506195,0.438046025,14.05687969,7.097518404,249.109375,6.07441549,27.36149584,72.72616137,227.4597001,51.25236992,67.90065665,4.550645424,3.183951162,10.34341448,22.52464193,49.68831028,24.09933775,16.50969948,34.30153668,4.368276995,4.780933472,1.503694268,3.360653518,6.989157835,87.45412844,74.32954299,15.61412676,1.817386778,46.0361018,17.20822473,25.71286218,7.664551027,28.80772171
2,1994,3.850250341,28.31266344,0.296406451,13.36993433,6.559744972,251.8671875,8.475387975,29.45498615,77.17481663,235.0105436,56.45797346,75.52813982,4.915345454,3.520433817,10.83941961,26.10650467,51.12587927,13.43046358,21.75477787,33.96484476,3.436071575,4.700255746,1.513721565,2.397007718,7.863477335,103.1909404,83.54919984,17.35773584,1.563196252,46.94450137,12.50781929,27.35042087,7.989691352,29.08479571
3,1995,5.633591261,36.53910248,0.376991118,15.32765434,8.9741093,250.9166667,12.01786577,42.87119114,88.08801956,237.5548266,60.46682115,83.61433357,6.700830846,3.884671962,12.36857881,31.01529705,57.26030777,22.0397351,27.22593035,41.20088041,4.195497468,7.061917421,1.597015469,2.700094778,11.44424866,120.1571101,90.17788135,21.55328066,3.250494534,59.52867843,15.87206777,30.6281636,10.21599913,33.73518953
4,1996,5.484205735,38.8007922,0.616252248,17.37114096,9.919257218,251.8125,11.30138885,53.21745152,95.33618582,240.4498594,63.19212134,91.07637714,8.121008903,4.368584343,12.40427726,32.8157816,54.5819752,27.05960265,27.10274239,43.56638613,4.151909128,4.943702258,1.826787989,3.556934603,12.37496881,119.2924312,94.18395648,23.01295313,3.186257158,57.0507767,16.61518969,30.43971264,10.49139021,36.70107923
5,1997,4.233545744,33.61527382,0.434304448,15.05160611,8.518642274,251.6796875,9.573317805,54.97783934,91.54400978,239.1283974,56.47040236,78.47144563,6.738038015,3.818776913,10.3284566,29.8144164,46.84338679,21.7781457,20.88016625,39.17662487,4.189013959,4.807315678,1.473830755,2.821320576,10.83933582,108.4174312,89.52149382,20.28212811,2.947735554,52.93428748,15.57707066,22.66800367,8.786746218,31.86066958
6,1998,4.991169777,39.28649624,0.566036108,16.73745061,10.41680875,253.5703125,11.38272529,65.76038781,99.10819071,237.3235708,62.11438803,81.24985905,9.033188614,4.94107224,10.98588543,35.82503888,54.56809082,24.49006623,24.54921869,45.2333309,4.772033666,5.900561968,2.035414013,3.123279325,13.19595851,121.3182339,96.73453441,22.06991196,2.530244664,59.28965438,21.36457428,27.41009466,9.930068362,34.70308833
7,1999,4.499453801,41.01296185,0.694484807,15.81165091,8.547943047,254.0182292,9.115676227,70.75484765,109.2982885,239.0320993,67.57794396,80.94241037,11.70172888,3.885009629,11.30981226,38.33205288,57.13649547,20.81456954,23.59334302,46.49117377,5.042938278,6.573594239,2.679399454,3.303606084,11.56696781,126.649656,103.0905929,22.65018441,3.807496096,66.21006879,22.95905734,21.3099688,11.56236154,34.9025585
8,2000,4.856076468,41.85333764,0.589716112,17.35485391,11.96099021,253.78125,11.24184306,73.87950139,107.2420538,244.0965323,70.84168949,88.4814778,13.52130739,4.666111691,12.66450298,41.33695178,61.47496916,22.31456954,25.03691654,47.94503943,5.115249076,5.960325739,2.160855323,3.875276436,15.20081176,128.5699541,101.2345344,24.35944535,3.982404997,67.76080731,21.23084999,27.58582059,13.42484269,39.38300974
9,2001,5.464269458,43.75097992,0.566076975,16.52746397,10.44640043,254.4635417,10.1148173,80.26177285,101.6283619,245.7586692,76.20676217,90.3995954,12.48233645,4.626300516,12.00608628,43.05353328,61.45750276,22.11258278,21.48386194,49.60084501,5.025078692,6.153918632,2.37989081,3.986776188,13.18784598,137.5022936,104.8996017,24.90583903,4.157470068,72.13824067,23.25499566,30.1019148,13.77737534,38.90388753
