system:time_start,precipitationCal
"Sep 1, 2019",0.053
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0
"Sep 1, 2019",0.008
"Sep 1, 2019",0.206
"Sep 1, 2019",0.056
"Sep 1, 2019",0.115
"Sep 1, 2019",0.191
"Sep 1, 2019",0.26
"Sep 1, 2019",0.447
"Sep 1, 2019",0.452
"Sep 1, 2019",0.631
"Sep 1, 2019",0.557
"Sep 1, 2019",0.77
"Sep 1, 2019",1.074
"Sep 1, 2019",1.802
"Sep 1, 2019",2.007
"Sep 1, 2019",1.051
"Sep 1, 2019",0.309
"Sep 1, 2019",0.758
"Sep 1, 2019",0.747
"Sep 1, 2019",1.302
"Sep 1, 2019",1.672
"Sep 1, 2019",1.449
"Sep 1, 2019",1.027
"Sep 1, 2019",0.606
"Sep 1, 2019",0.504
"Sep 1, 2019",0.151
"Sep 1, 2019",0.15
"Sep 1, 2019",0.091
"Sep 1, 2019",0.069
"Sep 1, 2019",0.06
"Sep 1, 2019",0.058
"Sep 1, 2019",0.077
"Sep 1, 2019",0.091
"Sep 1, 2019",0.06
"Sep 1, 2019",0.152
"Sep 1, 2019",0.173
"Sep 1, 2019",0.24
"Sep 1, 2019",0.344
"Sep 1, 2019",0.372
"Sep 1, 2019",0.469
"Sep 2, 2019",0.206
"Sep 2, 2019",0.001
"Sep 2, 2019",0.001
"Sep 2, 2019",0.001
"Sep 2, 2019",0
"Sep 2, 2019",0
"Sep 2, 2019",0
"Sep 2, 2019",0
"Sep 2, 2019",0.046
"Sep 2, 2019",0.056
"Sep 2, 2019",0.089
"Sep 2, 2019",0.081
"Sep 2, 2019",0.044
"Sep 2, 2019",0.024
"Sep 2, 2019",0.011
"Sep 2, 2019",0.006
"Sep 2, 2019",0
"Sep 2, 2019",0.04
"Sep 2, 2019",0.048
"Sep 2, 2019",0.04
"Sep 2, 2019",0.058
"Sep 2, 2019",0.067
"Sep 2, 2019",0
"Sep 2, 2019",0.015
"Sep 2, 2019",0.084
"Sep 2, 2019",0.09
"Sep 2, 2019",0.167
"Sep 2, 2019",0.224
"Sep 2, 2019",0.195
"Sep 2, 2019",0.115
"Sep 2, 2019",0.092
"Sep 2, 2019",0.1
"Sep 2, 2019",0.074
"Sep 2, 2019",0.08
"Sep 2, 2019",0.053
"Sep 2, 2019",0.067
"Sep 2, 2019",0.122
"Sep 2, 2019",0.2
"Sep 2, 2019",0.273
"Sep 2, 2019",0.425
"Sep 2, 2019",0.429
"Sep 2, 2019",0.356
"Sep 2, 2019",0.289
"Sep 2, 2019",0.162
"Sep 2, 2019",0.113
"Sep 2, 2019",0.098
"Sep 2, 2019",0.03
"Sep 2, 2019",0.025
"Sep 3, 2019",0.02
"Sep 3, 2019",0
"Sep 3, 2019",0.081
"Sep 3, 2019",0.144
"Sep 3, 2019",0.024
"Sep 3, 2019",0.022
"Sep 3, 2019",0.014
"Sep 3, 2019",0.013
"Sep 3, 2019",0.015
"Sep 3, 2019",0.013
"Sep 3, 2019",0.015
"Sep 3, 2019",0.01
"Sep 3, 2019",0.012
"Sep 3, 2019",0.017
"Sep 3, 2019",0.024
"Sep 3, 2019",0.029
"Sep 3, 2019",0.028
"Sep 3, 2019",0.023
"Sep 3, 2019",0.135
"Sep 3, 2019",0.146
"Sep 3, 2019",0.272
"Sep 3, 2019",0.364
"Sep 3, 2019",0.312
"Sep 3, 2019",0.271
"Sep 3, 2019",0.724
"Sep 3, 2019",1.139
"Sep 3, 2019",1.382
"Sep 3, 2019",1.577
"Sep 3, 2019",1.841
"Sep 3, 2019",1.157
"Sep 3, 2019",1.29
"Sep 3, 2019",0.874
"Sep 3, 2019",1.619
"Sep 3, 2019",1.662
"Sep 3, 2019",1.031
"Sep 3, 2019",0.974
"Sep 3, 2019",1.341
"Sep 3, 2019",1.932
"Sep 3, 2019",2.253
"Sep 3, 2019",3.47
"Sep 3, 2019",3.488
"Sep 3, 2019",3.398
"Sep 3, 2019",2.2
"Sep 3, 2019",1.919
"Sep 3, 2019",1.911
"Sep 3, 2019",2.815
"Sep 3, 2019",2.75
"Sep 3, 2019",3.85
"Sep 4, 2019",4.703
"Sep 4, 2019",4.081
"Sep 4, 2019",3.941
"Sep 4, 2019",3.492
"Sep 4, 2019",3.637
"Sep 4, 2019",2.936
"Sep 4, 2019",1.917
"Sep 4, 2019",2.161
"Sep 4, 2019",1.575
"Sep 4, 2019",1.461
"Sep 4, 2019",1.413
"Sep 4, 2019",2.156
"Sep 4, 2019",0.498
"Sep 4, 2019",0.286
"Sep 4, 2019",0.135
"Sep 4, 2019",0.126
"Sep 4, 2019",0.074
"Sep 4, 2019",0.314
"Sep 4, 2019",0.309
"Sep 4, 2019",0.307
"Sep 4, 2019",0.303
"Sep 4, 2019",0.249
"Sep 4, 2019",0.208
"Sep 4, 2019",0.426
"Sep 4, 2019",0.626
"Sep 4, 2019",0.894
"Sep 4, 2019",1.155
"Sep 4, 2019",0.938
"Sep 4, 2019",0.5
"Sep 4, 2019",0.316
"Sep 4, 2019",0.242
"Sep 4, 2019",0.051
"Sep 4, 2019",0.053
"Sep 4, 2019",0.215
"Sep 4, 2019",0.547
"Sep 4, 2019",0.961
"Sep 4, 2019",1.779
"Sep 4, 2019",0.156
"Sep 4, 2019",0.135
"Sep 4, 2019",0.208
"Sep 4, 2019",0.209
"Sep 4, 2019",0.171
"Sep 4, 2019",0.147
"Sep 4, 2019",0.088
"Sep 4, 2019",0.07
"Sep 4, 2019",0.076
"Sep 4, 2019",0.052
"Sep 4, 2019",0.121
"Sep 5, 2019",0.176
"Sep 5, 2019",0.45
"Sep 5, 2019",0.701
"Sep 5, 2019",0.472
"Sep 5, 2019",0.533
"Sep 5, 2019",0.422
"Sep 5, 2019",0.517
"Sep 5, 2019",0.728
"Sep 5, 2019",0.781
"Sep 5, 2019",0.76
"Sep 5, 2019",0.494
"Sep 5, 2019",0.298
