system:time_start,precipitationCal
"Aug 1, 2019",0.038
"Aug 1, 2019",0.041
"Aug 1, 2019",0.027
"Aug 1, 2019",0.03
"Aug 1, 2019",0.05
"Aug 1, 2019",0.081
"Aug 1, 2019",0.111
"Aug 1, 2019",0.174
"Aug 1, 2019",0.175
"Aug 1, 2019",0.185
"Aug 1, 2019",0.119
"Aug 1, 2019",0.125
"Aug 1, 2019",0.193
"Aug 1, 2019",0.303
"Aug 1, 2019",0.411
"Aug 1, 2019",0.641
"Aug 1, 2019",0.643
"Aug 1, 2019",1.117
"Aug 1, 2019",1.153
"Aug 1, 2019",0.843
"Aug 1, 2019",0.915
"Aug 1, 2019",1.282
"Aug 1, 2019",1.313
"Aug 1, 2019",1.228
"Aug 1, 2019",0.723
"Aug 1, 2019",0.521
"Aug 1, 2019",0.391
"Aug 1, 2019",0.201
"Aug 1, 2019",0.093
"Aug 1, 2019",0.015
"Aug 1, 2019",0.014
"Aug 1, 2019",0.01
"Aug 1, 2019",0.006
"Aug 1, 2019",0.007
"Aug 1, 2019",0.031
"Aug 1, 2019",0.096
"Aug 1, 2019",0.187
"Aug 1, 2019",0.28
"Aug 1, 2019",0.349
"Aug 1, 2019",0.404
"Aug 1, 2019",0.822
"Aug 1, 2019",0.802
"Aug 1, 2019",0.755
"Aug 1, 2019",0.342
"Aug 1, 2019",0.145
"Aug 1, 2019",0.121
"Aug 1, 2019",0.161
"Aug 1, 2019",0.143
"Aug 2, 2019",0.143
"Aug 2, 2019",0.084
"Aug 2, 2019",0.067
"Aug 2, 2019",0.045
"Aug 2, 2019",0.029
"Aug 2, 2019",0.009
"Aug 2, 2019",0.013
"Aug 2, 2019",0.041
"Aug 2, 2019",0.089
"Aug 2, 2019",0.149
"Aug 2, 2019",0.33
"Aug 2, 2019",0.697
"Aug 2, 2019",1.122
"Aug 2, 2019",1.524
"Aug 2, 2019",2.349
"Aug 2, 2019",2.411
"Aug 2, 2019",2.081
"Aug 2, 2019",1.764
"Aug 2, 2019",1.779
"Aug 2, 2019",1.793
"Aug 2, 2019",1.366
"Aug 2, 2019",0.913
"Aug 2, 2019",1.256
"Aug 2, 2019",1.749
"Aug 2, 2019",1.747
"Aug 2, 2019",2.129
"Aug 2, 2019",2.17
"Aug 2, 2019",2.213
"Aug 2, 2019",2.148
"Aug 2, 2019",2.286
"Aug 2, 2019",1.424
"Aug 2, 2019",0.828
"Aug 2, 2019",0.867
"Aug 2, 2019",0.696
"Aug 2, 2019",1.29
"Aug 2, 2019",0.475
"Aug 2, 2019",0.531
"Aug 2, 2019",1.185
"Aug 2, 2019",0.919
"Aug 2, 2019",1.295
"Aug 2, 2019",1.302
"Aug 2, 2019",1.237
"Aug 2, 2019",1.377
"Aug 2, 2019",1.215
"Aug 2, 2019",2.88
"Aug 2, 2019",0.867
"Aug 2, 2019",0.821
"Aug 2, 2019",1.685
"Aug 3, 2019",0.493
"Aug 3, 2019",0.389
"Aug 3, 2019",0.264
"Aug 3, 2019",0.169
"Aug 3, 2019",0.055
"Aug 3, 2019",0.007
"Aug 3, 2019",0
"Aug 3, 2019",0.001
"Aug 3, 2019",0.149
"Aug 3, 2019",0.006
"Aug 3, 2019",0.01
"Aug 3, 2019",0.021
"Aug 3, 2019",0.046
"Aug 3, 2019",0.073
"Aug 3, 2019",0.096
"Aug 3, 2019",0.148
"Aug 3, 2019",0.148
"Aug 3, 2019",0.18
"Aug 3, 2019",0.582
"Aug 3, 2019",0.662
"Aug 3, 2019",1.16
"Aug 3, 2019",1.609
"Aug 3, 2019",1.8
"Aug 3, 2019",1.875
"Aug 3, 2019",2.073
"Aug 3, 2019",2.455
"Aug 3, 2019",2.603
"Aug 3, 2019",2.998
"Aug 3, 2019",3.029
"Aug 3, 2019",2.016
"Aug 3, 2019",2.08
"Aug 3, 2019",2.323
"Aug 3, 2019",3.367
"Aug 3, 2019",3.406
"Aug 3, 2019",3.274
"Aug 3, 2019",1.977
"Aug 3, 2019",1.788
"Aug 3, 2019",1.211
"Aug 3, 2019",1.021
"Aug 3, 2019",1.487
"Aug 3, 2019",1.403
"Aug 3, 2019",2.901
"Aug 3, 2019",2.82
"Aug 3, 2019",1.897
"Aug 3, 2019",1.849
"Aug 3, 2019",2.544
"Aug 3, 2019",2.46
"Aug 3, 2019",2.037
"Aug 4, 2019",1.873
"Aug 4, 2019",1.436
"Aug 4, 2019",4.206
"Aug 4, 2019",5.285
"Aug 4, 2019",8.149
"Aug 4, 2019",8.689
"Aug 4, 2019",6.398
"Aug 4, 2019",7.73
"Aug 4, 2019",9.765
"Aug 4, 2019",14.475
"Aug 4, 2019",15.132
"Aug 4, 2019",14.417
"Aug 4, 2019",10.787
"Aug 4, 2019",10.75
"Aug 4, 2019",12.169
"Aug 4, 2019",11.583
"Aug 4, 2019",9.886
"Aug 4, 2019",7.079
"Aug 4, 2019",5.666
"Aug 4, 2019",5.975
"Aug 4, 2019",4.798
"Aug 4, 2019",4.158
"Aug 4, 2019",3.899
"Aug 4, 2019",3.239
"Aug 4, 2019",2.526
"Aug 4, 2019",2.593
"Aug 4, 2019",2.664
"Aug 4, 2019",2.482
"Aug 4, 2019",1.368
"Aug 4, 2019",0.926
"Aug 4, 2019",0.546
"Aug 4, 2019",0.536
"Aug 4, 2019",0.315
"Aug 4, 2019",0.379
"Aug 4, 2019",0.268
"Aug 4, 2019",0.398
"Aug 4, 2019",0.802
"Aug 4, 2019",1.435
"Aug 4, 2019",1.978
"Aug 4, 2019",3.102
"Aug 4, 2019",3.116
