system:time_start,precipitationCal
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0.004
"Jul 1, 2018",0.005
"Jul 1, 2018",0.009
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0.062
"Jul 1, 2018",0.119
"Jul 1, 2018",0.079
"Jul 1, 2018",0.042
"Jul 1, 2018",0.462
"Jul 1, 2018",0.259
"Jul 1, 2018",0.207
"Jul 1, 2018",0.039
"Jul 1, 2018",0.028
"Jul 1, 2018",0.015
"Jul 1, 2018",0.007
"Jul 1, 2018",0.005
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0.259
"Jul 1, 2018",0.032
"Jul 1, 2018",0.029
"Jul 1, 2018",0
"Jul 1, 2018",1.209
"Jul 1, 2018",0.011
"Jul 1, 2018",0.001
"Jul 1, 2018",0.001
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0.482
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 1, 2018",0
"Jul 2, 2018",2.45
"Jul 2, 2018",0
"Jul 2, 2018",0.001
"Jul 2, 2018",0.001
"Jul 2, 2018",0
"Jul 2, 2018",0.332
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0.001
"Jul 2, 2018",0
"Jul 2, 2018",0.001
"Jul 2, 2018",0.002
"Jul 2, 2018",0.003
"Jul 2, 2018",0.181
"Jul 2, 2018",0.005
"Jul 2, 2018",0.006
"Jul 2, 2018",0
"Jul 2, 2018",0.036
"Jul 2, 2018",0.04
"Jul 2, 2018",0.067
"Jul 2, 2018",0.207
"Jul 2, 2018",0.336
"Jul 2, 2018",0.833
"Jul 2, 2018",0.628
"Jul 2, 2018",0.564
"Jul 2, 2018",0.39
"Jul 2, 2018",0.281
"Jul 2, 2018",1.365
"Jul 2, 2018",0.099
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0.01
"Jul 2, 2018",0.002
"Jul 2, 2018",0.002
"Jul 2, 2018",0.001
"Jul 2, 2018",0.001
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0
"Jul 2, 2018",0.006
"Jul 2, 2018",0.004
"Jul 2, 2018",0.002
"Jul 2, 2018",0.002
"Jul 2, 2018",0
"Jul 2, 2018",0.001
"Jul 3, 2018",0.146
"Jul 3, 2018",0.19
"Jul 3, 2018",0.314
"Jul 3, 2018",0.274
"Jul 3, 2018",0.15
"Jul 3, 2018",0.093
"Jul 3, 2018",0.104
"Jul 3, 2018",0.07
"Jul 3, 2018",0.116
"Jul 3, 2018",0.347
"Jul 3, 2018",0.61
"Jul 3, 2018",2.074
"Jul 3, 2018",1.464
"Jul 3, 2018",0.691
"Jul 3, 2018",0.54
"Jul 3, 2018",0.01
"Jul 3, 2018",0.223
"Jul 3, 2018",0.224
"Jul 3, 2018",0.224
"Jul 3, 2018",0.315
"Jul 3, 2018",0.346
"Jul 3, 2018",0.418
"Jul 3, 2018",0.228
"Jul 3, 2018",0.169
"Jul 3, 2018",0.007
"Jul 3, 2018",0.007
"Jul 3, 2018",0.005
"Jul 3, 2018",0.005
"Jul 3, 2018",0.007
"Jul 3, 2018",0.007
"Jul 3, 2018",0.007
"Jul 3, 2018",0.007
"Jul 3, 2018",0.006
"Jul 3, 2018",0.01
"Jul 3, 2018",0.009
"Jul 3, 2018",0.02
"Jul 3, 2018",0.04
"Jul 3, 2018",0.068
"Jul 3, 2018",0.095
"Jul 3, 2018",0.166
"Jul 3, 2018",0.17
"Jul 3, 2018",0.161
"Jul 3, 2018",0.092
"Jul 3, 2018",0.068
"Jul 3, 2018",0.999
"Jul 3, 2018",0.088
"Jul 3, 2018",0.084
"Jul 3, 2018",0.103
"Jul 4, 2018",0.083
"Jul 4, 2018",0.129
"Jul 4, 2018",0.143
"Jul 4, 2018",0.103
"Jul 4, 2018",0.05
"Jul 4, 2018",0.036
"Jul 4, 2018",0
"Jul 4, 2018",0.001
"Jul 4, 2018",0.091
"Jul 4, 2018",0.162
"Jul 4, 2018",0.383
"Jul 4, 2018",0.388
"Jul 4, 2018",0.277
"Jul 4, 2018",0.397
"Jul 4, 2018",0.402
"Jul 4, 2018",0.423
"Jul 4, 2018",0.443
"Jul 4, 2018",1.743
"Jul 4, 2018",2.608
"Jul 4, 2018",1.566
"Jul 4, 2018",1.259
"Jul 4, 2018",0.451
"Jul 4, 2018",1.099
"Jul 4, 2018",1.281
"Jul 4, 2018",1.826
"Jul 4, 2018",1.579
"Jul 4, 2018",0.98
"Jul 4, 2018",1.036
"Jul 4, 2018",0.945
"Jul 4, 2018",0.481
"Jul 4, 2018",1.207
"Jul 4, 2018",1.415
"Jul 4, 2018",2.063
"Jul 4, 2018",2.766
"Jul 4, 2018",2.625
"Jul 4, 2018",1.394
"Jul 4, 2018",0.919
"Jul 4, 2018",0.574
"Jul 4, 2018",0.409
"Jul 4, 2018",0.36
"Jul 4, 2018",0.511
"Jul 4, 2018",0.459
"Jul 4, 2018",0.923
"Jul 4, 2018",1.438
"Jul 4, 2018",1.593
"Jul 4, 2018",2.098
"Jul 4, 2018",1.818
"Jul 4, 2018",3.825
"Jul 5, 2018",4.45
"Jul 5, 2018",6.163
"Jul 5, 2018",6.556
"Jul 5, 2018",4.566
"Jul 5, 2018",6.007
"Jul 5, 2018",8.254
"Jul 5, 2018",8.59
"Jul 5, 2018",5.166
"Jul 5, 2018",4.187
"Jul 5, 2018",1.134
"Jul 5, 2018",0.234
"Jul 5, 2018",0.547
"Jul 5, 2018",0.559
"Jul 5, 2018",1.021
"Jul 5, 2018",1.293
"Jul 5, 2018",2.246
"Jul 5, 2018",1.318
"Jul 5, 2018",5.043
"Jul 5, 2018",3.869
"Jul 5, 2018",3.524
"Jul 5, 2018",2.614
"Jul 5, 2018",2.701
"Jul 5, 2018",1.885
"Jul 5, 2018",2.211
"Jul 5, 2018",2.707
"Jul 5, 2018",2.238
"Jul 5, 2018",3.327
"Jul 5, 2018",3.354
"Jul 5, 2018",0.348
"Jul 5, 2018",0.354
"Jul 5, 2018",0.358
"Jul 5, 2018",0.18
"Jul 5, 2018",0.001
"Jul 5, 2018",0.001
"Jul 5, 2018",0.001
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0.095
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0
"Jul 5, 2018",0.028
"Jul 6, 2018",0.04
"Jul 6, 2018",0.084
"Jul 6, 2018",0.114
"Jul 6, 2018",0.198
"Jul 6, 2018",0.199
"Jul 6, 2018",0.013
"Jul 6, 2018",0.153
"Jul 6, 2018",0.255
"Jul 6, 2018",0.349
"Jul 6, 2018",0.781
"Jul 6, 2018",0.476
"Jul 6, 2018",0.908
"Jul 6, 2018",1.031
"Jul 6, 2018",1.416
"Jul 6, 2018",1.128
"Jul 6, 2018",0.681
"Jul 6, 2018",0.771
"Jul 6, 2018",0.578
"Jul 6, 2018",0.574
"Jul 6, 2018",0.315
"Jul 6, 2018",0.201
"Jul 6, 2018",0.113
"Jul 6, 2018",0.038
"Jul 6, 2018",0.016
"Jul 6, 2018",0.981
"Jul 6, 2018",0.724
"Jul 6, 2018",0.014
"Jul 6, 2018",0.014
"Jul 6, 2018",0.012
"Jul 6, 2018",0.029
"Jul 6, 2018",0.004
"Jul 6, 2018",0.004
"Jul 6, 2018",0.003
"Jul 6, 2018",0.006
"Jul 6, 2018",0.006
"Jul 6, 2018",0.015
"Jul 6, 2018",0.039
"Jul 6, 2018",0.078
"Jul 6, 2018",0.128
"Jul 6, 2018",0.177
"Jul 6, 2018",0.309
"Jul 6, 2018",0.311
"Jul 6, 2018",1.025
"Jul 6, 2018",0.81
"Jul 6, 2018",0.746
"Jul 6, 2018",0.579
"Jul 6, 2018",0.646
"Jul 6, 2018",0.453
"Jul 7, 2018",0.681
"Jul 7, 2018",0.889
"Jul 7, 2018",1.196
"Jul 7, 2018",2.071
"Jul 7, 2018",2.095
"Jul 7, 2018",2.045
"Jul 7, 2018",2.046
"Jul 7, 2018",1.81
"Jul 7, 2018",1.742
"Jul 7, 2018",1.531
"Jul 7, 2018",1.464
"Jul 7, 2018",0.993
"Jul 7, 2018",1.361
"Jul 7, 2018",1.302
"Jul 7, 2018",2.035
"Jul 7, 2018",2.245
"Jul 7, 2018",2.898
"Jul 7, 2018",2.095
"Jul 7, 2018",1.797
"Jul 7, 2018",0.942
"Jul 7, 2018",0.585
"Jul 7, 2018",0.641
"Jul 7, 2018",0.38
"Jul 7, 2018",0.728
"Jul 7, 2018",0.671
"Jul 7, 2018",1.16
"Jul 7, 2018",1.393
"Jul 7, 2018",1.188
"Jul 7, 2018",0.644
"Jul 7, 2018",0.404
