system:time_start,precipitationCal
"Jun 1, 2018",0.036
"Jun 1, 2018",0.056
"Jun 1, 2018",0.065
"Jun 1, 2018",0.051
"Jun 1, 2018",0.03
"Jun 1, 2018",0.023
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0.082
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0
"Jun 1, 2018",0.554
"Jun 1, 2018",3.449
"Jun 1, 2018",5.825
"Jun 1, 2018",6.418
"Jun 1, 2018",6.049
"Jun 1, 2018",6.392
"Jun 1, 2018",3.466
"Jun 1, 2018",0.606
"Jun 1, 2018",0.156
"Jun 1, 2018",0.104
"Jun 1, 2018",0.099
"Jun 1, 2018",0.057
"Jun 1, 2018",0.043
"Jun 1, 2018",0.025
"Jun 1, 2018",0.008
"Jun 1, 2018",0.006
"Jun 1, 2018",0
"Jun 1, 2018",0.246
"Jun 1, 2018",0.317
"Jun 1, 2018",0.626
"Jun 1, 2018",1.123
"Jun 1, 2018",1.664
"Jun 1, 2018",0.929
"Jun 1, 2018",0.639
"Jun 1, 2018",0.677
"Jun 1, 2018",0.716
"Jun 1, 2018",0.812
"Jun 1, 2018",0.806
"Jun 1, 2018",0.915
"Jun 1, 2018",0.553
"Jun 1, 2018",0.244
"Jun 2, 2018",0.213
"Jun 2, 2018",0.157
"Jun 2, 2018",0.078
"Jun 2, 2018",0.041
"Jun 2, 2018",0.027
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0
"Jun 2, 2018",0.165
"Jun 2, 2018",1.248
"Jun 2, 2018",1.718
"Jun 2, 2018",2.853
"Jun 2, 2018",3.864
"Jun 2, 2018",3.483
"Jun 2, 2018",3.709
"Jun 2, 2018",1.747
"Jun 2, 2018",0.994
"Jun 2, 2018",0.438
"Jun 2, 2018",0.259
"Jun 2, 2018",0.181
"Jun 2, 2018",0.087
"Jun 2, 2018",0.007
"Jun 2, 2018",0.002
"Jun 2, 2018",0.002
"Jun 2, 2018",0.036
"Jun 2, 2018",0.159
"Jun 2, 2018",0.134
"Jun 2, 2018",0.367
"Jun 2, 2018",0.405
"Jun 2, 2018",0.473
"Jun 2, 2018",0.252
"Jun 2, 2018",0.19
"Jun 2, 2018",0
"Jun 2, 2018",0.185
"Jun 2, 2018",0.109
"Jun 2, 2018",0.084
"Jun 2, 2018",0.004
"Jun 2, 2018",0.027
"Jun 2, 2018",0.043
"Jun 3, 2018",0.049
"Jun 3, 2018",0.065
"Jun 3, 2018",0.049
"Jun 3, 2018",0.023
"Jun 3, 2018",0.019
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
"Jun 3, 2018",0
