system:time_start,precipitationCal
"Jun 1, 2020",1.118
"Jun 1, 2020",0.991
"Jun 1, 2020",0.496
"Jun 1, 2020",0.468
"Jun 1, 2020",0.177
"Jun 1, 2020",0.225
"Jun 1, 2020",0.195
"Jun 1, 2020",0.277
"Jun 1, 2020",0.314
"Jun 1, 2020",0.315
"Jun 1, 2020",0.181
"Jun 1, 2020",0.148
"Jun 1, 2020",0.112
"Jun 1, 2020",0.104
"Jun 1, 2020",5.886
"Jun 1, 2020",6.139
"Jun 1, 2020",4.27
"Jun 1, 2020",2.698
"Jun 1, 2020",2.19
"Jun 1, 2020",1.056
"Jun 1, 2020",0.961
"Jun 1, 2020",0.297
"Jun 1, 2020",0.226
"Jun 1, 2020",0.184
"Jun 1, 2020",0.153
"Jun 1, 2020",1.767
"Jun 1, 2020",2.481
"Jun 1, 2020",3.858
"Jun 1, 2020",4.26
"Jun 1, 2020",2.969
"Jun 1, 2020",3.543
"Jun 1, 2020",5.075
"Jun 1, 2020",5.297
"Jun 1, 2020",5.296
"Jun 1, 2020",3.03
"Jun 1, 2020",2.398
"Jun 1, 2020",1.555
"Jun 1, 2020",1.204
"Jun 1, 2020",0.442
"Jun 1, 2020",0.237
"Jun 1, 2020",0.25
"Jun 1, 2020",0.248
"Jun 1, 2020",0.26
"Jun 1, 2020",0.216
"Jun 1, 2020",0.134
"Jun 1, 2020",0.205
"Jun 1, 2020",0.221
"Jun 1, 2020",0.761
"Jun 2, 2020",2.342
"Jun 2, 2020",3.476
"Jun 2, 2020",3.136
"Jun 2, 2020",2.934
"Jun 2, 2020",2.432
"Jun 2, 2020",1.907
"Jun 2, 2020",1.372
"Jun 2, 2020",1.369
"Jun 2, 2020",0.412
"Jun 2, 2020",0.036
"Jun 2, 2020",0.043
"Jun 2, 2020",0.04
"Jun 2, 2020",0.053
"Jun 2, 2020",0.073
"Jun 2, 2020",0.107
"Jun 2, 2020",0.188
"Jun 2, 2020",0.195
"Jun 2, 2020",0.58
"Jun 2, 2020",0.693
"Jun 2, 2020",0.588
"Jun 2, 2020",0.747
"Jun 2, 2020",0.77
"Jun 2, 2020",0.787
"Jun 2, 2020",0.957
"Jun 2, 2020",0.647
"Jun 2, 2020",0.883
"Jun 2, 2020",0.915
"Jun 2, 2020",1.616
"Jun 2, 2020",3.048
"Jun 2, 2020",2.309
"Jun 2, 2020",3.217
"Jun 2, 2020",3.602
"Jun 2, 2020",0.522
"Jun 2, 2020",0.799
"Jun 2, 2020",0.784
"Jun 2, 2020",0.64
"Jun 2, 2020",0.475
"Jun 2, 2020",0.291
"Jun 2, 2020",0.194
"Jun 2, 2020",0.097
"Jun 2, 2020",0.221
"Jun 2, 2020",0.236
"Jun 2, 2020",0.233
"Jun 2, 2020",0.159
"Jun 2, 2020",1.359
"Jun 2, 2020",1.964
"Jun 2, 2020",1.964
"Jun 2, 2020",1.397
"Jun 3, 2020",1.02
"Jun 3, 2020",0.597
"Jun 3, 2020",1.833
"Jun 3, 2020",1.776
"Jun 3, 2020",1.921
"Jun 3, 2020",1.24
"Jun 3, 2020",1.95
"Jun 3, 2020",2.6
"Jun 3, 2020",6.709
"Jun 3, 2020",6.84
"Jun 3, 2020",7.711
"Jun 3, 2020",7.387
"Jun 3, 2020",5.734
"Jun 3, 2020",5.98
"Jun 3, 2020",5.985
"Jun 3, 2020",5.61
"Jun 3, 2020",6.388
"Jun 3, 2020",5.781
"Jun 3, 2020",8.106
"Jun 3, 2020",7.612
"Jun 3, 2020",7.276
"Jun 3, 2020",4.878
"Jun 3, 2020",3.671
"Jun 3, 2020",3.451
"Jun 3, 2020",2.395
"Jun 3, 2020",3.005
"Jun 3, 2020",3.547
"Jun 3, 2020",3.47
"Jun 3, 2020",2.972
"Jun 3, 2020",2.688
"Jun 3, 2020",2.858
"Jun 3, 2020",3.268
"Jun 3, 2020",2.485
"Jun 3, 2020",2.485
"Jun 3, 2020",2.416
"Jun 3, 2020",1.834
"Jun 3, 2020",1.988
"Jun 3, 2020",1.456
"Jun 3, 2020",1.394
"Jun 3, 2020",1.941
"Jun 3, 2020",0.017
"Jun 3, 2020",0.007
"Jun 3, 2020",0.007
"Jun 3, 2020",0.043
"Jun 3, 2020",0.084
"Jun 3, 2020",0.087
"Jun 3, 2020",0.238
"Jun 3, 2020",0.053
"Jun 4, 2020",0.136
"Jun 4, 2020",0.107
"Jun 4, 2020",0.01
"Jun 4, 2020",0.377
"Jun 4, 2020",0.229
"Jun 4, 2020",0.108
"Jun 4, 2020",0.108
"Jun 4, 2020",0.153
"Jun 4, 2020",0.14
"Jun 4, 2020",0.111
"Jun 4, 2020",0.142
"Jun 4, 2020",0.173
"Jun 4, 2020",0.376
"Jun 4, 2020",1.23
"Jun 4, 2020",2.158
"Jun 4, 2020",4.991
"Jun 4, 2020",5.989
"Jun 4, 2020",4.587
"Jun 4, 2020",4.558
"Jun 4, 2020",2.675
"Jun 4, 2020",1.97
"Jun 4, 2020",1.062
"Jun 4, 2020",0.646
"Jun 4, 2020",0.373
"Jun 4, 2020",0.02
"Jun 4, 2020",0.015
"Jun 4, 2020",0.008
"Jun 4, 2020",0.006
"Jun 4, 2020",0.003
"Jun 4, 2020",0.002
"Jun 4, 2020",0.001
"Jun 4, 2020",0.001
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 4, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0.001
"Jun 5, 2020",0
"Jun 5, 2020",0.002
"Jun 5, 2020",0.004
"Jun 5, 2020",0.002
"Jun 5, 2020",0
"Jun 5, 2020",0.002
"Jun 5, 2020",0.003
"Jun 5, 2020",0.006
"Jun 5, 2020",0.01
"Jun 5, 2020",0.01
"Jun 5, 2020",0.004
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 5, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0.005
"Jun 6, 2020",0
"Jun 6, 2020",0.004
"Jun 6, 2020",0.009
"Jun 6, 2020",0.015
"Jun 6, 2020",0.023
"Jun 6, 2020",0.006
"Jun 6, 2020",0
"Jun 6, 2020",0.006
"Jun 6, 2020",0.009
"Jun 6, 2020",0.013
"Jun 6, 2020",0.009
"Jun 6, 2020",0.002
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0.002
"Jun 6, 2020",0.002
"Jun 6, 2020",0.001
"Jun 6, 2020",0.001
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0
"Jun 7, 2020",0.01
"Jun 7, 2020",0.002
