system:time_start,precipitationCal
"Jul 1, 2019",0.79
"Jul 1, 2019",1.385
"Jul 1, 2019",1.386
"Jul 1, 2019",1.582
"Jul 1, 2019",1.216
"Jul 1, 2019",1.493
"Jul 1, 2019",2.378
"Jul 1, 2019",2.568
"Jul 1, 2019",2.483
"Jul 1, 2019",2.464
"Jul 1, 2019",2.393
"Jul 1, 2019",1.987
"Jul 1, 2019",1.111
"Jul 1, 2019",0.573
"Jul 1, 2019",0.415
"Jul 1, 2019",0.062
"Jul 1, 2019",0.139
"Jul 1, 2019",0.173
"Jul 1, 2019",0.459
"Jul 1, 2019",0.483
"Jul 1, 2019",0.753
"Jul 1, 2019",1.371
"Jul 1, 2019",1.61
"Jul 1, 2019",1.975
"Jul 1, 2019",2.317
"Jul 1, 2019",1.867
"Jul 1, 2019",1.879
"Jul 1, 2019",1.074
"Jul 1, 2019",1.042
"Jul 1, 2019",1.14
"Jul 1, 2019",1.414
"Jul 1, 2019",2.298
"Jul 1, 2019",2.312
"Jul 1, 2019",2.295
"Jul 1, 2019",1.288
"Jul 1, 2019",0.983
"Jul 1, 2019",0.726
"Jul 1, 2019",0.634
"Jul 1, 2019",0.737
"Jul 1, 2019",1.215
"Jul 1, 2019",1.214
"Jul 1, 2019",1.396
"Jul 1, 2019",0.983
"Jul 1, 2019",1.244
"Jul 1, 2019",1.799
"Jul 1, 2019",2.465
"Jul 1, 2019",4.328
"Jul 1, 2019",4.373
"Jul 2, 2019",3.858
"Jul 2, 2019",3.665
"Jul 2, 2019",3.191
"Jul 2, 2019",3.133
"Jul 2, 2019",1.703
"Jul 2, 2019",1.294
"Jul 2, 2019",0.9
"Jul 2, 2019",0.818
"Jul 2, 2019",1.089
"Jul 2, 2019",1.02
"Jul 2, 2019",1.215
"Jul 2, 2019",1.386
"Jul 2, 2019",1.182
"Jul 2, 2019",0.67
"Jul 2, 2019",0.535
"Jul 2, 2019",0.355
"Jul 2, 2019",0.158
"Jul 2, 2019",0.64
"Jul 2, 2019",0.481
"Jul 2, 2019",0.262
"Jul 2, 2019",0.277
"Jul 2, 2019",0.126
"Jul 2, 2019",0.234
"Jul 2, 2019",0.275
"Jul 2, 2019",0.374
"Jul 2, 2019",0.367
"Jul 2, 2019",0.195
"Jul 2, 2019",0.137
"Jul 2, 2019",0.07
"Jul 2, 2019",0.086
"Jul 2, 2019",0.015
"Jul 2, 2019",0
"Jul 2, 2019",0.004
"Jul 2, 2019",0.004
"Jul 2, 2019",0.02
"Jul 2, 2019",0.002
"Jul 2, 2019",0.002
"Jul 2, 2019",0.003
"Jul 2, 2019",0.004
"Jul 2, 2019",0.005
"Jul 2, 2019",0.009
"Jul 2, 2019",0.009
"Jul 2, 2019",0.014
"Jul 2, 2019",0.013
"Jul 2, 2019",0.078
"Jul 2, 2019",0.034
"Jul 2, 2019",0.038
"Jul 2, 2019",0.073
"Jul 3, 2019",0.086
"Jul 3, 2019",0.118
"Jul 3, 2019",0.115
"Jul 3, 2019",0.876
"Jul 3, 2019",3.535
"Jul 3, 2019",3.374
"Jul 3, 2019",2.455
"Jul 3, 2019",0.008
"Jul 3, 2019",0.005
"Jul 3, 2019",0.014
"Jul 3, 2019",0.015
"Jul 3, 2019",1.384
"Jul 3, 2019",1.046
"Jul 3, 2019",0.126
"Jul 3, 2019",0.028
"Jul 3, 2019",0.029
"Jul 3, 2019",0.031
"Jul 3, 2019",1.652
"Jul 3, 2019",0.577
"Jul 3, 2019",0.164
"Jul 3, 2019",0.045
"Jul 3, 2019",0.046
"Jul 3, 2019",0.233
"Jul 3, 2019",0.408
"Jul 3, 2019",1.056
"Jul 3, 2019",0.734
"Jul 3, 2019",0.613
"Jul 3, 2019",0.317
"Jul 3, 2019",0.277
"Jul 3, 2019",0.412
"Jul 3, 2019",0.505
"Jul 3, 2019",0.115
