,Date,precipitationCal
0,2018-06-01 00:00:00,0.036000000000000004
1,2018-06-01 00:30:00,0.056
2,2018-06-01 01:00:00,0.065
3,2018-06-01 01:30:00,0.051
4,2018-06-01 02:00:00,0.03
5,2018-06-01 02:30:00,0.023
6,2018-06-01 03:00:00,0.0
7,2018-06-01 03:30:00,0.0
8,2018-06-01 04:00:00,0.0
9,2018-06-01 04:30:00,0.0
10,2018-06-01 05:00:00,0.0
11,2018-06-01 05:30:00,0.08199999999999999
12,2018-06-01 06:00:00,0.0
13,2018-06-01 06:30:00,0.0
14,2018-06-01 07:00:00,0.0
15,2018-06-01 07:30:00,0.0
16,2018-06-01 08:00:00,0.0
17,2018-06-01 08:30:00,0.5539999999999999
18,2018-06-01 09:00:00,3.449
19,2018-06-01 09:30:00,5.825
20,2018-06-01 10:00:00,6.417999999999998
21,2018-06-01 10:30:00,6.049
22,2018-06-01 11:00:00,6.392
23,2018-06-01 11:30:00,3.466
24,2018-06-01 12:00:00,0.606
25,2018-06-01 12:30:00,0.156
26,2018-06-01 13:00:00,0.104
27,2018-06-01 13:30:00,0.099
28,2018-06-01 14:00:00,0.057
29,2018-06-01 14:30:00,0.043
30,2018-06-01 15:00:00,0.025
31,2018-06-01 15:30:00,0.008
32,2018-06-01 16:00:00,0.006
33,2018-06-01 16:30:00,0.0
34,2018-06-01 17:00:00,0.246
35,2018-06-01 17:30:00,0.317
36,2018-06-01 18:00:00,0.626
37,2018-06-01 18:30:00,1.123
38,2018-06-01 19:00:00,1.664
39,2018-06-01 19:30:00,0.929
40,2018-06-01 20:00:00,0.639
41,2018-06-01 20:30:00,0.677
42,2018-06-01 21:00:00,0.716
43,2018-06-01 21:30:00,0.812
44,2018-06-01 22:00:00,0.8059999999999999
45,2018-06-01 22:30:00,0.915
46,2018-06-01 23:00:00,0.5529999999999999
47,2018-06-01 23:30:00,0.244
48,2018-06-02 00:00:00,0.213
49,2018-06-02 00:30:00,0.157
50,2018-06-02 01:00:00,0.078
51,2018-06-02 01:30:00,0.041
52,2018-06-02 02:00:00,0.027000000000000003
53,2018-06-02 02:30:00,0.0
54,2018-06-02 03:00:00,0.0
55,2018-06-02 03:30:00,0.0
56,2018-06-02 04:00:00,0.0
57,2018-06-02 04:30:00,0.0
58,2018-06-02 05:00:00,0.0
59,2018-06-02 05:30:00,0.0
60,2018-06-02 06:00:00,0.0
61,2018-06-02 06:30:00,0.0
62,2018-06-02 07:00:00,0.0
63,2018-06-02 07:30:00,0.0
64,2018-06-02 08:00:00,0.0
65,2018-06-02 08:30:00,0.165
66,2018-06-02 09:00:00,1.248
67,2018-06-02 09:30:00,1.7180000000000002
68,2018-06-02 10:00:00,2.853
69,2018-06-02 10:30:00,3.864
70,2018-06-02 11:00:00,3.483
71,2018-06-02 11:30:00,3.709
72,2018-06-02 12:00:00,1.747
73,2018-06-02 12:30:00,0.994
74,2018-06-02 13:00:00,0.438
75,2018-06-02 13:30:00,0.259
76,2018-06-02 14:00:00,0.181
77,2018-06-02 14:30:00,0.087
78,2018-06-02 15:00:00,0.006999999999999999
79,2018-06-02 15:30:00,0.002
80,2018-06-02 16:00:00,0.002
81,2018-06-02 16:30:00,0.036000000000000004
82,2018-06-02 17:00:00,0.159
83,2018-06-02 17:30:00,0.134
84,2018-06-02 18:00:00,0.3670000000000001
85,2018-06-02 18:30:00,0.405
86,2018-06-02 19:00:00,0.473
87,2018-06-02 19:30:00,0.252
88,2018-06-02 20:00:00,0.19
89,2018-06-02 20:30:00,0.0
90,2018-06-02 21:00:00,0.185
91,2018-06-02 21:30:00,0.109
92,2018-06-02 22:00:00,0.084
93,2018-06-02 22:30:00,0.004
94,2018-06-02 23:00:00,0.027000000000000003
95,2018-06-02 23:30:00,0.043
96,2018-06-03 00:00:00,0.049
97,2018-06-03 00:30:00,0.065
98,2018-06-03 01:00:00,0.049
99,2018-06-03 01:30:00,0.023
100,2018-06-03 02:00:00,0.019
101,2018-06-03 02:30:00,0.0
102,2018-06-03 03:00:00,0.0
103,2018-06-03 03:30:00,0.0
104,2018-06-03 04:00:00,0.0
105,2018-06-03 04:30:00,0.0
106,2018-06-03 05:00:00,0.0
107,2018-06-03 05:30:00,0.0
108,2018-06-03 06:00:00,0.0
109,2018-06-03 06:30:00,0.0
110,2018-06-03 07:00:00,0.0
111,2018-06-03 07:30:00,0.0
112,2018-06-03 08:00:00,0.0
113,2018-06-03 08:30:00,0.094
114,2018-06-03 09:00:00,0.11
115,2018-06-03 09:30:00,0.198
116,2018-06-03 10:00:00,0.385
117,2018-06-03 10:30:00,0.454
118,2018-06-03 11:00:00,0.428
119,2018-06-03 11:30:00,0.426
120,2018-06-03 12:00:00,1.047
121,2018-06-03 12:30:00,4.134
122,2018-06-03 13:00:00,1.533
123,2018-06-03 13:30:00,0.992
124,2018-06-03 14:00:00,0.743
125,2018-06-03 14:30:00,0.207
126,2018-06-03 15:00:00,0.221
127,2018-06-03 15:30:00,0.219
128,2018-06-03 16:00:00,0.16
129,2018-06-03 16:30:00,0.109
130,2018-06-03 17:00:00,0.23
131,2018-06-03 17:30:00,0.123
132,2018-06-03 18:00:00,0.093
133,2018-06-03 18:30:00,0.002
134,2018-06-03 19:00:00,0.013
135,2018-06-03 19:30:00,0.026
136,2018-06-03 20:00:00,0.03
137,2018-06-03 20:30:00,0.039
138,2018-06-03 21:00:00,0.028
139,2018-06-03 21:30:00,0.012
140,2018-06-03 22:00:00,0.01
141,2018-06-03 22:30:00,0.0
142,2018-06-03 23:00:00,0.0
143,2018-06-03 23:30:00,0.0
144,2018-06-04 00:00:00,0.0
145,2018-06-04 00:30:00,0.0
146,2018-06-04 01:00:00,0.0
147,2018-06-04 01:30:00,0.0
148,2018-06-04 02:00:00,0.0
149,2018-06-04 02:30:00,0.02
150,2018-06-04 03:00:00,0.0
151,2018-06-04 03:30:00,0.0
152,2018-06-04 04:00:00,0.0
153,2018-06-04 04:30:00,0.0
