,key,key1,k,2018,2019,2020
0,0,0,,,,
1,1,1,0.5,140.61399999999992,45.577499999999986,191.23499999999993
2,2,2,1.5,105.96699999999993,63.91199999999996,73.249
3,3,3,2.5,88.50299999999997,39.60149999999997,126.70399999999998
4,4,4,3.5,115.36849999999998,154.93049999999997,131.17850000000007
5,5,5,4.5,159.66700000000006,239.78499999999997,61.508000000000095
6,6,6,5.5,269.02,195.4565,32.547999999999995
7,7,7,6.5,256.30549999999994,145.21300000000002,90.64350000000003
8,8,8,7.5,181.04299999999995,280.8990000000001,96.93350000000001
9,9,9,8.5,74.56199999999991,561.6895000000002,83.77550000000001
10,10,10,9.5,17.08649999999996,454.69100000000014,103.12100000000001
11,11,11,10.5,128.0384999999999,125.97750000000002,
12,12,12,11.5,220.91449999999978,12.118499999999997,
13,13,13,12.5,112.0084999999998,44.208,
