,Date,precipitationCal,Month_name
0,2020-06-01 00:00:00,1.1179999999999999,June
1,2020-06-01 00:30:00,0.991,June
2,2020-06-01 01:00:00,0.496,June
3,2020-06-01 01:30:00,0.46799999999999997,June
4,2020-06-01 02:00:00,0.177,June
5,2020-06-01 02:30:00,0.225,June
6,2020-06-01 03:00:00,0.195,June
7,2020-06-01 03:30:00,0.27699999999999997,June
8,2020-06-01 04:00:00,0.314,June
9,2020-06-01 04:30:00,0.315,June
10,2020-06-01 05:00:00,0.18100000000000002,June
11,2020-06-01 05:30:00,0.14800000000000002,June
12,2020-06-01 06:00:00,0.11199999999999999,June
13,2020-06-01 06:30:00,0.10400000000000001,June
14,2020-06-01 07:00:00,5.886,June
15,2020-06-01 07:30:00,6.138999999999999,June
16,2020-06-01 08:00:00,4.27,June
17,2020-06-01 08:30:00,2.698,June
18,2020-06-01 09:00:00,2.19,June
19,2020-06-01 09:30:00,1.056,June
20,2020-06-01 10:00:00,0.961,June
21,2020-06-01 10:30:00,0.297,June
22,2020-06-01 11:00:00,0.226,June
23,2020-06-01 11:30:00,0.184,June
24,2020-06-01 12:00:00,0.153,June
25,2020-06-01 12:30:00,1.767,June
26,2020-06-01 13:00:00,2.481,June
27,2020-06-01 13:30:00,3.858,June
28,2020-06-01 14:00:00,4.26,June
29,2020-06-01 14:30:00,2.969,June
30,2020-06-01 15:00:00,3.543,June
31,2020-06-01 15:30:00,5.075,June
32,2020-06-01 16:00:00,5.297000000000001,June
33,2020-06-01 16:30:00,5.296,June
34,2020-06-01 17:00:00,3.03,June
35,2020-06-01 17:30:00,2.398,June
36,2020-06-01 18:00:00,1.555,June
37,2020-06-01 18:30:00,1.204,June
38,2020-06-01 19:00:00,0.442,June
39,2020-06-01 19:30:00,0.237,June
40,2020-06-01 20:00:00,0.25,June
41,2020-06-01 20:30:00,0.248,June
42,2020-06-01 21:00:00,0.26,June
43,2020-06-01 21:30:00,0.21600000000000003,June
44,2020-06-01 22:00:00,0.134,June
45,2020-06-01 22:30:00,0.205,June
46,2020-06-01 23:00:00,0.221,June
47,2020-06-01 23:30:00,0.7609999999999999,June
48,2020-06-02 00:00:00,2.342,June
49,2020-06-02 00:30:00,3.4760000000000004,June
50,2020-06-02 01:00:00,3.136,June
51,2020-06-02 01:30:00,2.9339999999999997,June
52,2020-06-02 02:00:00,2.432,June
53,2020-06-02 02:30:00,1.9069999999999998,June
54,2020-06-02 03:00:00,1.3719999999999999,June
55,2020-06-02 03:30:00,1.369,June
56,2020-06-02 04:00:00,0.41200000000000003,June
57,2020-06-02 04:30:00,0.036000000000000004,June
58,2020-06-02 05:00:00,0.043,June
59,2020-06-02 05:30:00,0.04,June
60,2020-06-02 06:00:00,0.053,June
61,2020-06-02 06:30:00,0.073,June
62,2020-06-02 07:00:00,0.107,June
63,2020-06-02 07:30:00,0.188,June
64,2020-06-02 08:00:00,0.195,June
65,2020-06-02 08:30:00,0.58,June
66,2020-06-02 09:00:00,0.693,June
67,2020-06-02 09:30:00,0.588,June
68,2020-06-02 10:00:00,0.747,June
69,2020-06-02 10:30:00,0.77,June
70,2020-06-02 11:00:00,0.787,June
71,2020-06-02 11:30:00,0.9570000000000001,June
72,2020-06-02 12:00:00,0.647,June
73,2020-06-02 12:30:00,0.883,June
74,2020-06-02 13:00:00,0.915,June
75,2020-06-02 13:30:00,1.6159999999999999,June
76,2020-06-02 14:00:00,3.048,June
77,2020-06-02 14:30:00,2.309,June
78,2020-06-02 15:00:00,3.217,June
79,2020-06-02 15:30:00,3.602,June
80,2020-06-02 16:00:00,0.522,June
81,2020-06-02 16:30:00,0.799,June
82,2020-06-02 17:00:00,0.784,June
83,2020-06-02 17:30:00,0.64,June
84,2020-06-02 18:00:00,0.475,June
85,2020-06-02 18:30:00,0.29100000000000004,June
86,2020-06-02 19:00:00,0.19399999999999998,June
87,2020-06-02 19:30:00,0.09699999999999999,June
88,2020-06-02 20:00:00,0.221,June
89,2020-06-02 20:30:00,0.23600000000000002,June
90,2020-06-02 21:00:00,0.233,June
91,2020-06-02 21:30:00,0.159,June
92,2020-06-02 22:00:00,1.359,June
93,2020-06-02 22:30:00,1.964,June
94,2020-06-02 23:00:00,1.964,June
95,2020-06-02 23:30:00,1.3969999999999998,June
96,2020-06-03 00:00:00,1.02,June
97,2020-06-03 00:30:00,0.597,June
98,2020-06-03 01:00:00,1.8330000000000002,June
99,2020-06-03 01:30:00,1.776,June
100,2020-06-03 02:00:00,1.921,June
101,2020-06-03 02:30:00,1.24,June
102,2020-06-03 03:00:00,1.95,June
103,2020-06-03 03:30:00,2.6,June
104,2020-06-03 04:00:00,6.709,June
105,2020-06-03 04:30:00,6.84,June
106,2020-06-03 05:00:00,7.711,June
107,2020-06-03 05:30:00,7.3870000000000005,June
108,2020-06-03 06:00:00,5.734,June
