Year,April,August,December,February,January,July,June,March,May,November,October,September
2000,,625.2340609,11.52532203,,,612.9403013,475.5868832,,,6.90231229,145.212529,295.3715448
2001,20.32387544,528.8665575,0.751673989,0.002617881,0.77451831,672.0395336,350.4073186,0.216562489,34.06684761,37.21511211,283.1559556,410.7367817
2002,17.60194742,659.0359966,0.398748248,0.060095436,0.487416455,301.488473,546.1040373,2.394867407,51.22834772,5.583268527,96.78605141,186.1814493
2003,9.26410966,524.4997877,0.378070803,2.08290421,0.618044626,714.9312018,491.8684498,1.867092091,2.625228226,13.08660228,84.64220264,213.0373499
2004,3.012124189,896.3453903,0.461163607,0.024969863,0.231006023,813.6735566,537.2502197,0.159049011,155.8917194,46.42186503,40.92944361,464.9746165
2005,45.9203817,761.1254326,0.787029615,1.436309043,7.427033492,1257.217138,578.33084,5.771812176,47.9705675,1.587792559,162.9246145,767.4221392
2006,0.525159778,1132.003897,0.849001717,0.008980397,0.54300004,1185.028117,517.7741601,17.38278723,186.9546202,82.52334549,155.1750313,495.3435831
2007,28.26636685,802.6324636,0.754169962,0.122644948,1.201287532,769.99582,730.2803207,0.438767995,17.62530291,24.44688426,30.45407519,512.2476345
2008,12.0322889,786.348995,29.83232313,0.028602395,0.21476759,557.9837476,501.6305184,49.31456856,20.80293645,17.46409322,72.84119488,755.4982408
2009,2.162569217,578.0121271,2.862081305,0.010407703,0.552830455,1147.300098,318.5538579,10.84400458,15.7364782,264.3749485,209.0809351,485.516557
2010,12.13702017,901.8209228,0.563708563,0.525894249,0.688639205,1051.206288,660.4899031,16.29116257,28.02386522,165.3753173,338.6187377,417.6641066
2011,28.61787486,686.6691142,0.405366596,3.679884299,0.380400991,992.4642712,554.6120644,0.965627813,13.77729316,0.917877324,286.3031586,511.7220436
2012,15.80165894,609.1044384,0.722325041,0.090429994,0.031185848,681.3637214,257.1182328,0.0030206,9.655468613,5.575133825,241.7523134,337.150539
2013,2.784492921,363.675127,21.93301055,1.247579022,0.49096036,1025.079417,765.8647025,3.638300872,15.90338958,29.48120422,116.5892101,568.8410448
2014,18.16372742,860.6532725,47.98677098,1.986586404,2.6920851,1068.098313,153.0301866,41.02476444,43.52413059,64.51555559,104.4538341,310.8619394
2015,21.23901225,385.6254917,0.047033855,12.89938839,0.781847487,483.2522729,555.8587926,69.2875335,125.5994624,145.6255059,211.5460511,534.9718139
2016,3.485738803,792.4427813,0.218171623,3.550854465,0.65480981,1057.121368,360.2191394,8.412595019,20.51020287,1.97705579,154.7793683,621.1424651
2017,0.061306663,620.6357896,17.719018,0.067942139,0.428754787,900.6115143,586.1146737,0.646177536,55.03587417,3.627475034,257.926055,585.8054239
2018,13.64861722,498.0143718,1.154858035,1.129231842,0.337858254,904.1693811,520.1935307,0.924071833,30.10526391,22.57984128,51.0408106,113.924289
2019,23.99955105,711.5990734,4.079607016,0.062360592,0.179657355,1252.748448,441.0681988,0.149608039,0.393691402,67.94745675,428.9009222,1011.903236
2020,10.68338945,680.1344726,,0.197142905,0.306900346,269.5852365,709.9662018,21.31820458,194.4854755,,,
