Year,April,August,December,February,January,July,June,March,May,November,October,September
2000,,494.8509862,1.520325121,,,700.3404028,344.8333142,,,21.7740685,231.5920584,343.5455559
2001,33.9584048,375.2781058,4.020985017,0.000117262,0.160034753,537.7285086,238.7013379,0,74.09773208,23.74971605,233.3011711,365.2259647
2002,14.48184982,480.7411867,1.099624262,0.542028181,0.00108867,359.0840559,485.6146174,2.136256435,119.6004569,19.8228468,187.736046,122.6337819
2003,58.2378277,269.3862767,0.601324049,0.757649747,0.723450532,464.4232668,268.7552034,20.29604132,15.83840811,8.717882772,188.5803783,99.4363913
2004,30.41622979,574.6419306,0.369255729,0.219995102,0.138164804,477.3422197,441.9324469,0.094029367,318.7061374,24.7456524,48.50001961,298.5017833
2005,132.8988598,549.6488514,1.093258182,0.009816944,3.391779725,913.7208086,418.7722627,2.834978593,76.19481805,1.78202198,186.5156623,477.1974914
2006,4.32233306,772.7385847,0.621242962,0,0.915266454,730.8149675,424.9176716,15.27710911,331.6367903,193.8655606,149.6882422,410.1737881
2007,33.91698395,592.1235416,0.220357915,0.005710614,0.296077335,529.8386267,806.108456,0.48280881,88.02954154,33.5945755,58.2327752,373.0897719
2008,29.47057508,515.4688919,6.958116073,0.468405668,0.018997089,383.6227891,314.2420345,87.13686515,106.5998769,44.08227339,116.6507263,442.4157035
2009,33.91199792,382.441843,5.922887365,0.000821579,0.159488817,814.918522,192.4804501,10.97221977,75.1873285,148.6428007,188.8935912,474.7506523
2010,27.96701059,551.6282416,0.362624421,0.038446029,8.398297361,845.531706,471.4389309,1.715541777,25.14515985,132.1159599,193.6611333,332.3487762
2011,74.03181182,480.2049685,0.97687642,0.576206712,0.002406604,755.70774,353.0548018,0.093009695,73.00918225,2.588575594,203.6373024,295.7884366
2012,64.01567126,337.4132449,3.611557385,0.120826202,0.017709051,611.9568367,268.6969907,0.052911317,42.30191238,39.42493121,155.0642305,257.8581789
2013,22.91253037,249.0656023,0.24100672,1.72999516,0.27403741,732.3814672,407.1954423,4.390724917,87.38021819,8.748649618,148.5197174,359.1631834
2014,57.05720172,516.6007446,23.69962619,0.047830245,1.308564008,731.3162204,166.2268888,26.62670901,133.9472182,76.12360198,142.520581,211.5260173
2015,36.39105087,216.2031574,3.274547238,5.003247434,1.813165996,395.9225695,333.5869408,55.32106359,120.9010996,10.08253246,127.0068656,229.0095916
2016,18.9882448,621.8989591,1.17302566,0.094692953,0.407470536,1093.048627,440.2808189,15.48351263,45.42251159,28.71835272,82.252457,315.4763913
2017,7.232423766,362.4647727,8.461652881,0,0.50768866,625.0333959,292.3801247,0.86661774,114.379999,5.673479764,246.1659258,597.5712169
2018,20.42711959,404.9392569,3.145728415,2.519221701,0.419058781,737.8135503,438.728685,7.255815122,153.0774745,37.92047991,74.88544696,219.1655947
2019,23.91942253,967.9646554,9.106549039,0.000602718,0,971.4690865,337.8709173,10.37636449,12.24923414,15.46168901,485.4853155,586.3785502
2020,79.41867056,403.1654576,,0,2.049142925,218.860805,477.5231183,23.06176782,101.3589687,,,218.942286
